"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16937-6498","QB","Tom","","Brady","23.5","5","9300","NE@SF","NE","SF","","","",""
"16937-28181","RB","Le'Veon","","Bell","19.3000005086263","6","9100","PIT@CLE","PIT","CLE","","","",""
"16937-6894","QB","Aaron","","Rodgers","23.77777777777778","9","9100","GB@WAS","GB","WAS","","","",""
"16937-31360","WR","Odell","","Beckham Jr.","14.699999809265137","8","9000","CHI@NYG","NYG","CHI","","","",""
"16937-11612","WR","Antonio","","Brown","17.833333333333332","9","8900","PIT@CLE","PIT","CLE","","","",""
"16937-38791","RB","Ezekiel","","Elliott","21.38888888888889","9","8700","BAL@DAL","DAL","BAL","","","",""
"16937-14185","QB","Cam","","Newton","20.607500076293945","8","8500","NO@CAR","CAR","NO","","","",""
"16937-14254","RB","DeMarco","","Murray","19.980000305175782","10","8500","TEN@IND","TEN","IND","","","",""
"16937-6589","QB","Ben","","Roethlisberger","21.934999465942383","8","8400","PIT@CLE","PIT","CLE","","","",""
"16937-11460","TE","Rob","","Gronkowski","12.071428571428571","7","8400","NE@SF","NE","SF","Q","Chest","",""
"16937-6504","QB","Drew","","Brees","23.83111063639323","9","8300","NO@CAR","NO","CAR","","","",""
"16937-62497","RB","David","","Johnson","22.144444783528645","9","8300","ARI@MIN","ARI","MIN","","","",""
"16937-14187","WR","A.J.","","Green","17.137500762939453","8","8200","BUF@CIN","CIN","BUF","","","",""
"16937-21939","QB","Andrew","","Luck","20.88888888888889","9","8100","TEN@IND","IND","TEN","","","",""
"16937-29358","QB","Marcus","","Mariota","20.358000183105467","10","8000","TEN@IND","TEN","IND","","","",""
"16937-32384","WR","Mike","","Evans","17.844445122612846","9","8000","TB@KC","TB","KC","","","",""
"16937-6654","QB","Matthew","","Stafford","19.391111585828995","9","7900","JAC@DET","DET","JAC","","","",""
